ICD,Cancer,Number,Uncertainty interval,Crude Rate*,ASR (World)*,Cum. risk**
"C00-97/C44","Allcancersexcl.non-melanomaskincancer","39291","Notavailable","668.3","669.4","6.60",
"C33-34","Lung","6712","Notavailable","114.2","114.4","1.17",
"C50","Breast","5900","Notavailable","188.7","188.7","1.87",
"C18","Colon","3422","Notavailable","58.2","58.3","0.60",
"C22","Liver","3077","Notavailable","52.3","52.4","0.53",
"C61","Prostate","2502","Notavailable","90.9","92.2","0.98",
"C19-20","Rectum","1851","Notavailable","31.5","31.5","0.32",
"C53","Cervixuteri","1435","Notavailable","45.9","45.9","0.46",
"C54","Corpusuteri","1175","Notavailable","37.6","37.6","0.37",
"C56","Ovary","1097","Notavailable","35.1","35.1","0.35",
"C73","Thyroid","1087","Notavailable","18.5","18.5","0.19",
"C16","Stomach","993","Notavailable","16.9","16.9","0.17",
"C82-86, C96","Non-Hodgkinlymphoma","966","Notavailable","16.4","16.5","0.17",
"C25","Pancreas","930","Notavailable","15.8","15.9","0.16",
"C91-95","Leukaemia","650","Notavailable","11.1","11.1","0.11",
"C64-65","Kidney","642","Notavailable","10.9","10.9","0.11",
"C11","Nasopharynx","616","Notavailable","10.5","10.5","0.11",
"C32","Larynx","563","Notavailable","9.6","9.6","0.10",
"C67","Bladder","532","Notavailable","9.0","9.1","0.09",
"C00-06","Lip,oralcavity","462","Notavailable","7.9","7.9","0.08",
"C15","Oesophagus","376","Notavailable","6.4","6.4","0.07",
"C70-72","Brain,centralnervoussystem","333","Notavailable","5.7","5.7","0.06",
"C88+C90","Multiplemyeloma","232","Notavailable","3.9","4.0","0.04",
"C07-08","Salivaryglands","155","Notavailable","2.6","2.6","0.03",
"C09-10","Oropharynx","135","Notavailable","2.3","2.3","0.02",
"C43","Melanomaofskin","111","Notavailable","1.9","1.9","0.02",
"C23","Gallbladder","79","Notavailable","1.3","1.3","0.01",
"C12-13","Hypopharynx","76","Notavailable","1.3","1.3","0.01",
"C81","Hodgkinlymphoma","47","Notavailable","0.80","0.80","0.01",
"C51","Vulva","43","Notavailable","1.4","1.4","0.01",
"C21","Anus","40","Notavailable","0.68","0.68","0.01",
"C60","Penis","32","Notavailable","1.2","1.2","0.01",
"C62","Testis","28","Notavailable","1.0","1.0","0.01",
"C52","Vagina","21","Notavailable","0.67","0.67","0.01",
"C45","Mesothelioma","16","Notavailable","0.27","0.27","0.00",
"C46","Kaposisarcoma","2","Notavailable","0.03","0.03","0.00",
