ICD,Cancer,Number,Uncertainty interval,Crude Rate*,ASR (World)*,Cum. risk**
"C00-97/C44","Allcancersexcl.non-melanomaskincancer","42442","Notavailable","1194.2","1194.0","-",
"C33-34","Lung","7031","Notavailable","197.8","197.1","-",
"C61","Prostate","5002","Notavailable","360.4","386.8","-",
"C50","Breast","4967","Notavailable","229.3","227.4","-",
"C18","Colon","4257","Notavailable","119.8","119.9","-",
"C22","Liver","3510","Notavailable","98.8","98.7","-",
"C19-20","Rectum","1730","Notavailable","48.7","48.6","-",
"C25","Pancreas","1404","Notavailable","39.5","39.5","-",
"C16","Stomach","1355","Notavailable","38.1","38.3","-",
"C82-86, C96","Non-Hodgkinlymphoma","1079","Notavailable","30.4","30.3","-",
"C53","Cervixuteri","1063","Notavailable","49.1","48.8","-",
"C91-95","Leukaemia","994","Notavailable","28.0","27.9","-",
"C56","Ovary","828","Notavailable","38.2","38.1","-",
"C73","Thyroid","810","Notavailable","22.8","22.8","-",
"C67","Bladder","750","Notavailable","21.1","21.1","-",
"C64-65","Kidney","599","Notavailable","16.9","16.9","-",
"C54","Corpusuteri","578","Notavailable","26.7","27.0","-",
"C32","Larynx","512","Notavailable","14.4","14.4","-",
"C00-06","Lip,oralcavity","460","Notavailable","12.9","13.0","-",
"C11","Nasopharynx","459","Notavailable","12.9","12.9","-",
"C15","Oesophagus","388","Notavailable","10.9","10.9","-",
"C70-72","Brain,centralnervoussystem","340","Notavailable","9.6","9.6","-",
"C88+C90","Multiplemyeloma","250","Notavailable","7.0","7.0","-",
"C43","Melanomaofskin","144","Notavailable","4.1","4.1","-",
"C07-08","Salivaryglands","119","Notavailable","3.3","3.3","-",
"C09-10","Oropharynx","117","Notavailable","3.3","3.3","-",
"C23","Gallbladder","106","Notavailable","3.0","3.0","-",
"C51","Vulva","65","Notavailable","3.0","2.9","-",
"C12-13","Hypopharynx","63","Notavailable","1.8","1.8","-",
"C21","Anus","53","Notavailable","1.5","1.5","-",
"C81","Hodgkinlymphoma","43","Notavailable","1.2","1.3","-",
"C52","Vagina","26","Notavailable","1.2","1.2","-",
"C60","Penis","23","Notavailable","1.7","1.8","-",
"C45","Mesothelioma","20","Notavailable","0.56","0.60","-",
"C62","Testis","18","Notavailable","1.3","1.3","-",
