ICD,Cancer,Number,Uncertainty interval,Crude Rate*,ASR (World)*,Cum. risk**
"C00-97/C44","Allcancersexcl.non-melanomaskincancer","86080","[85054.6-87117.8]","157.8","166.5","-",
"C50","Breast","27163","[26050.8-28322.7]","49.8","52.7","-",
"C53","Cervixuteri","7897","[7306.2-8535.6]","14.5","15.2","-",
"C33-34","Lung","5774","[5239.2-6363.4]","10.6","11.3","-",
"C56","Ovary","5395","[4783.4-6084.7]","9.9","10.4","-",
"C18","Colon","5228","[4512.6-6056.9]","9.6","10.2","-",
"C73","Thyroid","4927","[4375.0-5548.6]","9.0","9.2","-",
"C54","Corpusuteri","4374","[3892.2-4915.4]","8.0","8.7","-",
"C22","Liver","3158","[2760.1-3613.2]","5.8","6.1","-",
"C91-95","Leukaemia","2712","[2419.7-3039.7]","5.0","5.1","-",
"C19-20","Rectum","2432","[2185.5-2706.3]","4.5","4.8","-",
"C82-86, C96","Non-Hodgkinlymphoma","1918","[1657.9-2218.8]","3.5","3.7","-",
"C25","Pancreas","1702","[1428.9-2027.2]","3.1","3.3","-",
"C16","Stomach","1489","[1348.8-1643.8]","2.7","2.9","-",
"C11","Nasopharynx","969","[734.2-1278.9]","1.8","1.8","-",
"C70-72","Brain,centralnervoussystem","936","[751.4-1166.0]","1.7","1.8","-",
"C64-65","Kidney","825","[294.1-2314.5]","1.5","1.6","-",
"C00-06","Lip,oralcavity","686","[581.6-809.1]","1.3","1.3","-",
"C67","Bladder","514","[369.9-714.3]","0.94","0.99","-",
"C88+C90","Multiplemyeloma","414","[291.5-588.0]","0.76","0.82","-",
"C15","Oesophagus","271","[171.2-429.0]","0.50","0.52","-",
"C07-08","Salivaryglands","255","[162.0-401.3]","0.47","0.49","-",
"C81","Hodgkinlymphoma","240","[156.9-367.1]","0.44","0.42","-",
"C43","Melanomaofskin","209","[125.8-347.3]","0.38","0.40","-",
"C32","Larynx","196","[121.5-316.2]","0.36","0.39","-",
"C23","Gallbladder","177","[102.8-304.8]","0.32","0.34","-",
"C51","Vulva","158","[86.6-288.2]","0.29","0.31","-",
"C09-10","Oropharynx","126","[63.7-249.0]","0.23","0.24","-",
"C52","Vagina","97","[49.5-189.9]","0.18","0.19","-",
"C21","Anus","90","[40.2-201.5]","0.16","0.17","-",
"C12-13","Hypopharynx","33","[8.6-126.3]","0.06","0.06","-",
"C45","Mesothelioma","26","[5.4-125.7]","0.05","0.05","-",
"C46","Kaposisarcoma","2","[0.20-22.5]","0.00","0.00","-",
