ICD,Cancer,Number,Uncertainty interval,Crude Rate*,ASR (World)*,Cum. risk**
"C00-97/C44","Allcancersexcl.non-melanomaskincancer","66723","[65867.2-67589.9]","121.3","163.2","-",
"C33-34","Lung","13406","[12536.7-14335.6]","24.4","33.6","-",
"C61","Prostate","8242","[7533.1-9017.6]","15.0","23.4","-",
"C22","Liver","7436","[6795.1-8137.4]","13.5","17.8","-",
"C18","Colon","6087","[5442.9-6807.4]","11.1","15.2","-",
"C19-20","Rectum","3414","[3033.0-3842.9]","6.2","8.2","-",
"C91-95","Leukaemia","3083","[2727.8-3484.4]","5.6","6.5","-",
"C82-86, C96","Non-Hodgkinlymphoma","2222","[1839.9-2683.5]","4.0","5.1","-",
"C11","Nasopharynx","2037","[1572.5-2638.7]","3.7","4.4","-",
"C16","Stomach","1892","[1657.4-2159.8]","3.4","4.8","-",
"C25","Pancreas","1647","[1350.4-2008.7]","3.0","4.1","-",
"C64-65","Kidney","1559","[1225.8-1982.8]","2.8","3.6","-",
"C73","Thyroid","1418","[1198.8-1677.2]","2.6","3.0","-",
"C32","Larynx","1354","[1174.1-1561.5]","2.5","3.4","-",
"C67","Bladder","1200","[848.8-1696.5]","2.2","3.1","-",
"C70-72","Brain,centralnervoussystem","1101","[796.6-1521.7]","2.0","2.3","-",
"C00-06","Lip,oralcavity","875","[738.4-1036.9]","1.6","2.1","-",
"C15","Oesophagus","873","[732.5-1040.5]","1.6","2.2","-",
"C62","Testis","358","[255.6-501.5]","0.65","0.68","-",
"C88+C90","Multiplemyeloma","352","[240.1-516.1]","0.64","0.83","-",
"C09-10","Oropharynx","339","[234.6-489.8]","0.62","0.80","-",
"C07-08","Salivaryglands","323","[217.1-480.5]","0.59","0.74","-",
"C81","Hodgkinlymphoma","274","[187.5-400.3]","0.50","0.52","-",
"C43","Melanomaofskin","209","[126.3-345.9]","0.38","0.50","-",
"C12-13","Hypopharynx","151","[75.6-301.4]","0.27","0.38","-",
"C60","Penis","126","[67.1-236.5]","0.23","0.28","-",
"C21","Anus","113","[61.5-207.5]","0.21","0.26","-",
"C23","Gallbladder","109","[56.2-211.5]","0.20","0.27","-",
"C45","Mesothelioma","37","[9.7-141.7]","0.07","0.09","-",
"C46","Kaposisarcoma","9","[0.80-101.3]","0.02","0.02","-",
