ICD,Cancer,Number,Uncertainty interval,Crude Rate*,ASR (World)*,Cum. risk**
"C00-97/C44","Allcancersexcl.non-melanomaskincancer","152803","[151467.0-154151.0]","139.4","161.0","-",
"C50","Breast","27163","[26050.8-28322.7]","49.8","52.7","-",
"C33-34","Lung","19180","[18150.2-20268.2]","17.5","21.1","-",
"C18","Colon","11315","[10351.0-12368.8]","10.3","12.3","-",
"C22","Liver","10594","[9829.5-11418.0]","9.7","11.4","-",
"C61","Prostate","8242","[7533.1-9017.6]","15.0","23.4","-",
"C53","Cervixuteri","7897","[7306.2-8535.6]","14.5","15.2","-",
"C73","Thyroid","6345","[5758.5-6991.2]","5.8","6.2","-",
"C19-20","Rectum","5846","[5400.2-6328.6]","5.3","6.3","-",
"C91-95","Leukaemia","5795","[5331.0-6299.3]","5.3","5.7","-",
"C56","Ovary","5395","[4783.4-6084.7]","9.9","10.4","-",
"C54","Corpusuteri","4374","[3892.2-4915.4]","8.0","8.7","-",
"C82-86, C96","Non-Hodgkinlymphoma","4140","[3689.0-4646.1]","3.8","4.3","-",
"C16","Stomach","3381","[3123.5-3659.7]","3.1","3.7","-",
"C25","Pancreas","3349","[2937.1-3818.6]","3.1","3.7","-",
"C11","Nasopharynx","3006","[2487.6-3632.4]","2.7","3.0","-",
"C64-65","Kidney","2384","[1886.2-3013.2]","2.2","2.5","-",
"C70-72","Brain,centralnervoussystem","2037","[1698.4-2443.1]","1.9","2.0","-",
"C67","Bladder","1714","[1347.3-2180.5]","1.6","1.9","-",
"C00-06","Lip,oralcavity","1561","[1386.8-1757.1]","1.4","1.7","-",
"C32","Larynx","1550","[1335.7-1798.7]","1.4","1.7","-",
"C15","Oesophagus","1144","[958.4-1365.5]","1.0","1.2","-",
"C88+C90","Multiplemyeloma","766","[591.5-992.0]","0.70","0.83","-",
"C07-08","Salivaryglands","578","[428.7-779.3]","0.53","0.60","-",
"C81","Hodgkinlymphoma","514","[387.3-682.1]","0.47","0.47","-",
"C09-10","Oropharynx","465","[336.4-642.8]","0.42","0.49","-",
"C43","Melanomaofskin","418","[292.3-597.7]","0.38","0.45","-",
"C62","Testis","358","[255.6-501.5]","0.65","0.68","-",
"C23","Gallbladder","286","[187.9-435.4]","0.26","0.31","-",
"C21","Anus","203","[125.0-329.8]","0.19","0.21","-",
"C12-13","Hypopharynx","184","[99.1-341.5]","0.17","0.20","-",
"C51","Vulva","158","[86.6-288.2]","0.29","0.31","-",
"C60","Penis","126","[67.1-236.5]","0.23","0.28","-",
"C52","Vagina","97","[49.5-189.9]","0.18","0.19","-",
"C45","Mesothelioma","63","[22.7-175.2]","0.06","0.07","-",
"C46","Kaposisarcoma","11","[2.0-60.9]","0.01","0.01","-",
